********************************************************************************
***                                                                          ***
***                   Load Component Values -- Executed on                   ***
***                             Date : 10/31/2015                            ***
***                              Time : 9:43 AM                              ***
***                                                                          ***
********************************************************************************
*
File : D:\documentation.simplistechnologies.com\branches\build80_xml\library\examples\simplis_tutorial\Modeling Blocks\drive_logic_and_drivers.compvalues.txt
*
Action:	refdes	old	new
-------	------	---	---
No Change	PROBE8.PROBE_DISABLED	{!PROBES_ENABLED_TON}	{!PROBES_ENABLED_TON}
No Change	Probe6.PROBE_DISABLED	{!PROBES_ENABLED}	{!PROBES_ENABLED}
No Change	Probe5.PROBE_DISABLED	{!PROBES_ENABLED}	{!PROBES_ENABLED}
No Change	Probe3.PROBE_DISABLED	{!PROBES_ENABLED}	{!PROBES_ENABLED}
No Change	Probe2.PROBE_DISABLED	{!PROBES_ENABLED}	{!PROBES_ENABLED}
No Change	Probe1.PROBE_DISABLED	{!PROBES_ENABLED}	{!PROBES_ENABLED}
No Change	Probe4.PROBE_DISABLED	{!PROBES_ENABLED}	{!PROBES_ENABLED}
No Change	PROBE7.PROBE_DISABLED	{!PROBES_ENABLED_TON}	{!PROBES_ENABLED_TON}
Load component value -- complete @ 9:43 AM

